"Symbol","Description","Universe","Market Capitalization","Sector","Industry","Same Sub-Industry As","Price/Earnings (TTM)","Price/Book (MRQ)"
"ANF","Abercrombie & Fitch Co","Domestic","$919M (Micro)","Consumer Discretionary","Specialty Retail","Apparel Retail","15.18","1.39"
"ABMD","ABIOMED Inc","Domestic","$17B (Mid)","Health Care","Health Care Equipment & Supplies","Health Care Equipment","64.77","11.06"
"ABLE","Able Energy Inc","Domestic","$1K (Micro)","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Storage & Transportation","--","0.00"
"ABM","ABM Industries Inc","Domestic","$3B (Small)","Industrials","Commercial Services & Supplies","Environmental & Facilities Services","14.16","1.77"
"AXAS","Abraxas Petroleum Corp","Domestic","$125M (Micro)","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","0.28","0.17"
"MPRG","ABS Group Inc","Domestic","-- ","Communication Services","Entertainment","Movies & Entertainment","--","--"
"ABSI","Absci Corp","Domestic","$227M (Micro)","Health Care","Biotechnology","Biotechnology","--","0.78"
"AHFI","Absolute Health and Fitness Inc","Domestic","-- ","Consumer Discretionary","Leisure Products","Leisure Products","--","--"
"ABVC","ABVC Biopharma Inc","Domestic","$25M (Micro)","Health Care","Biotechnology","Biotechnology","--","2.67"
"ACCA","Acacia Diversified Holdings Inc","Domestic","$5K (Micro)","Health Care","Pharmaceuticals","Pharmaceuticals","--","--"
"ACTG","Acacia Research Corp","Domestic","$169M (Micro)","Financials","Diversified Financial Services","Specialized Finance","3.47","0.58"
"ASO","Academy Sports and Outdoors Inc","Domestic","$4B (Small)","Consumer Discretionary","Specialty Retail","Specialty Stores","6.58","2.48"
"ACHC","Acadia Healthcare Company Inc","Domestic","$7B (Small)","Health Care","Health Care Providers & Services","Health Care Facilities","26.22","2.65"
"ACAD","ACADIA Pharmaceuticals Inc","Domestic","$2B (Small)","Health Care","Biotechnology","Biotechnology","--","5.70"
"AKR","Acadia Realty Trust","Domestic","$1B (Micro)","Real Estate","Equity Real Estate Investment Trusts (REITs)","Retail REITs","--","0.83"
"CAVG","ACC Aviation Holdings Ltd","Domestic","$80M (Micro)","Health Care","Pharmaceuticals","Pharmaceuticals","--","--"
"ACEL","Accel Entertainment Inc","Domestic","$772M (Micro)","Consumer Discretionary","Hotels, Restaurants & Leisure","Casinos & Gaming","12.08","4.32"
"AXDX","Accelerate Diagnostics Inc","Domestic","$95M (Micro)","Health Care","Health Care Equipment & Supplies","Health Care Equipment","--","--"
"ACN","Accenture PLC","Domestic","$191B (Large)","Information Technology","IT Services","IT Consulting & Other Services","26.80","8.20"
"ACCR","Access Power Corp","Domestic","$573K (Micro)","Information Technology","Internet Software & Services","Internet Software & Services","95.00","1.90"
"ACCO","ACCO Brands Corp","Domestic","$501M (Micro)","Industrials","Commercial Services & Supplies","Office Services & Supplies","26.77","0.64"
"ACCD","Accolade Inc","Domestic","$601M (Micro)","Health Care","Health Care Providers & Services","Health Care Services","--","1.09"
"GHMP","Accredited Solutions Inc","Domestic","$398K (Micro)","Consumer Staples","Beverages","Soft Drinks","--","--"
"ARAY","Accuray Inc","Domestic","$218M (Micro)","Health Care","Health Care Equipment & Supplies","Health Care Equipment","--","4.63"
"ACRX","AcelRx Pharmaceuticals Inc","Domestic","$18M (Micro)","Health Care","Pharmaceuticals","Pharmaceuticals","0.39","0.66"
"ACER","Acer Therapeutics Inc","Domestic","$19M (Micro)","Health Care","Pharmaceuticals","Pharmaceuticals","--","--"
"ACGJ","ACI Global Corp","Domestic","$32K (Micro)","Health Care","Biotechnology","Biotechnology","--","--"
"ACIW","ACI Worldwide Inc","Domestic","$2B (Small)","Information Technology","Software","Application Software","15.12","1.97"
"ACON","Aclarion Inc","Domestic","$6M (Micro)","Health Care","Health Care Technology","Health Care Technology","--","1.48"
"ACRS","Aclaris Therapeutics Inc","Domestic","$1B (Micro)","Health Care","Pharmaceuticals","Pharmaceuticals","--","5.46"
"ACMR","ACM Research Inc","Domestic","$532M (Micro)","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductor Equipment","40.92","0.81"
"ACMT","ACMAT Corp","Domestic","-- ","Financials","Insurance","Property & Casualty Insurance","--","--"
"ACMTA","ACMAT Corp","Domestic","$14M (Micro)","Financials","Insurance","Property & Casualty Insurance","--","0.93"
"ACU","Acme United Corp","Domestic","$88M (Micro)","Industrials","Commercial Services & Supplies","Office Services & Supplies","16.06","1.10"
"ACNB","ACNB Corp","Domestic","$327M (Micro)","Financials","Banks","Regional Banks","11.14","1.41"
