"Symbol","Description","Universe","Return on Invested Capital (TTM)","Price/Earnings (TTM)","Sector","Industry","Same Sub-Industry As","Market Capitalization"
"PRGS","Progress Software Corp","Domestic","8.33%","27.02","Information Technology","Software","Systems Software","$2B (Small)"
"IBP","Installed Building Products Inc","Domestic","15.04%","12.47","Consumer Discretionary","Household Durables","Homebuilding","$2B (Small)"
"FCPT","Four Corners Property Trust Inc","Domestic","5.16%","22.00","Real Estate","Equity Real Estate Investment Trusts (REITs)","Specialized REITs","$2B (Small)"
"ESTE","Earthstone Energy Inc","Domestic","29.02%","4.64","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","$2B (Small)"
"INSW","International Seaways Inc","Domestic","6.17%","16.95","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Storage & Transportation","$2B (Small)"
"GETY","Getty Images Holdings Inc","Domestic","3.19%","23.57","Communication Services","Interactive Media & Services","Interactive Media & Services","$2B (Small)"
"SHO","Sunstone Hotel Investors Inc","Domestic","7.40%","12.14","Real Estate","Equity Real Estate Investment Trusts (REITs)","Hotel & Resort REITs","$2B (Small)"
"CEIX","CONSOL Energy Inc","Domestic","18.28%","6.11","Energy","Oil, Gas & Consumable Fuels","Coal & Consumable Fuels","$2B (Small)"
"NVEE","NV5 Global Inc","Domestic","7.08%","38.93","Industrials","Construction & Engineering","Construction & Engineering","$2B (Small)"
"SLVM","Sylvamo Corp","Domestic","13.24%","7.81","Materials","Paper & Forest Products","Paper Products","$2B (Small)"
"ACIW","ACI Worldwide Inc","Domestic","6.95%","14.81","Information Technology","Software","Application Software","$2B (Small)"
"WMK","Weis Markets Inc","Domestic","7.57%","19.39","Consumer Staples","Food & Staples Retailing","Food Retail","$2B (Small)"
"CWH","Camping World Holdings Inc","Domestic","17.92%","6.07","Consumer Discretionary","Specialty Retail","Automotive Retail","$2B (Small)"
"KW","Kennedy-Wilson Holdings Inc","Domestic","1.46%","30.16","Real Estate","Real Estate Management & Development","Real Estate Operating Companies","$2B (Small)"
"OMCL","Omnicell Inc","Domestic","2.73%","51.65","Health Care","Health Care Equipment & Supplies","Health Care Equipment","$2B (Small)"
"HBI","HanesBrands Inc","Domestic","6.96%","6.73","Consumer Discretionary","Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods","$2B (Small)"
"VICR","Vicor Corp","Domestic","5.98%","91.20","Industrials","Electrical Equipment","Electrical Components & Equipment","$2B (Small)"
"VRRM","Verra Mobility Corp","Domestic","5.70%","30.12","Information Technology","IT Services","Data Processing & Outsourced Services","$2B (Small)"
"REZI","Resideo Technologies Inc","Domestic","6.89%","7.78","Industrials","Building Products","Building Products","$2B (Small)"
"WDFC","WD-40 Co","Domestic","20.17%","35.69","Consumer Staples","Household Products","Household Products","$2B (Small)"
"DKL","Delek Logistics Partners LP","Domestic","14.27%","15.13","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Storage & Transportation","$2B (Small)"
"MGRC","McGrath RentCorp","Domestic","6.94%","23.13","Industrials","Trading Companies & Distributors","Trading Companies & Distributors","$2B (Small)"
"NHI","National Health Investors Inc","Domestic","2.68%","35.00","Real Estate","Equity Real Estate Investment Trusts (REITs)","Health Care REITs","$2B (Small)"
"BRC","Brady Corp","Domestic","13.72%","16.00","Industrials","Commercial Services & Supplies","Commercial Printing","$2B (Small)"
"MATX","Matson Inc","Domestic","42.25%","1.86","Industrials","Marine","Marine","$2B (Small)"
"ITGR","Integer Holdings Corp","Domestic","2.89%","35.40","Health Care","Health Care Equipment & Supplies","Health Care Equipment","$2B (Small)"
"PRFT","Perficient Inc","Domestic","10.83%","30.94","Information Technology","IT Services","IT Consulting & Other Services","$2B (Small)"
"THRM","Gentherm Inc","Domestic","5.90%","50.18","Consumer Discretionary","Auto Components","Auto Parts & Equipment","$2B (Small)"
"DK","Delek US Holdings Inc","Domestic","8.82%","7.44","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Refining & Marketing","$2B (Small)"
"KTB","Kontoor Brands Inc","Domestic","21.10%","10.59","Consumer Discretionary","Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods","$2B (Small)"
"ESE","ESCO Technologies Inc","Domestic","6.25%","29.80","Industrials","Machinery","Industrial Machinery","$2B (Small)"
"SCL","Stepan Co","Domestic","9.60%","16.58","Materials","Chemicals","Specialty Chemicals","$2B (Small)"
"ALRM","Alarm.com Holdings Inc","Domestic","4.24%","56.61","Information Technology","Software","Application Software","$2B (Small)"
"NPO","EnPro Industries Inc","Domestic","7.85%","14.83","Industrials","Machinery","Industrial Machinery","$2B (Small)"
"HEP","Holly Energy Partners LP","Domestic","9.17%","12.09","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Storage & Transportation","$2B (Small)"
"TRN","Trinity Industries Inc","Domestic","0.72%","60.42","Industrials","Machinery","Construction Machinery & Heavy Trucks","$2B (Small)"
"VIAV","Viavi Solutions Inc","Domestic","6.22%","25.34","Information Technology","Communications Equipment","Communications Equipment","$3B (Small)"
"CALM","Cal-Maine Foods Inc","Domestic","22.60%","10.00","Consumer Staples","Food Products","Packaged Foods & Meats","$3B (Small)"
"CWK","Cushman & Wakefield PLC","Domestic","5.82%","8.14","Real Estate","Real Estate Management & Development","Real Estate Services","$3B (Small)"
"CBZ","CBIZ Inc","Domestic","7.91%","24.40","Industrials","Professional Services","Research & Consulting Services","$3B (Small)"
"PAGP","Plains GP Holdings LP","Domestic","12.31%","12.18","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Storage & Transportation","$3B (Small)"
"MOG/A","Moog Inc","Domestic","6.02%","18.34","Industrials","Aerospace & Defense","Aerospace & Defense","$3B (Small)"
"NEX","Nextier Oilfield Solutions Inc","Domestic","18.28%","13.53","Energy","Energy Equipment & Services","Oil & Gas Equipment & Services","$3B (Small)"
"URBN","Urban Outfitters Inc","Domestic","6.09%","15.64","Consumer Discretionary","Specialty Retail","Apparel Retail","$3B (Small)"
"CRVL","CorVel Corp","Domestic","26.65%","41.15","Health Care","Health Care Providers & Services","Health Care Services","$3B (Small)"
"OI","O-I Glass Inc","Domestic","7.27%","5.72","Materials","Containers & Packaging","Metal & Glass Containers","$3B (Small)"
"ACLS","Axcelis Technologies Inc","Domestic","25.44%","16.40","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductor Equipment","$3B (Small)"
"LCII","LCI Industries","Domestic","19.12%","5.26","Consumer Discretionary","Auto Components","Auto Parts & Equipment","$3B (Small)"
"EXTR","Extreme Networks Inc","Domestic","7.97%","59.53","Information Technology","Communications Equipment","Communications Equipment","$3B (Small)"
"KBH","KB Home","Domestic","15.04%","3.54","Consumer Discretionary","Household Durables","Homebuilding","$3B (Small)"
"HPK","Highpeak Energy Inc","Domestic","17.03%","13.54","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","$3B (Small)"
"CBRL","Cracker Barrel Old Country Store Inc","Domestic","7.09%","20.94","Consumer Discretionary","Hotels, Restaurants & Leisure","Restaurants","$3B (Small)"
"AMR","Alpha Metallurgical Resources Inc","Domestic","89.81%","2.12","Materials","Metals & Mining","Steel","$3B (Small)"
"AMBP","Ardagh Metal Packaging SA","Domestic","8.90%","11.28","Materials","Containers & Packaging","Metal & Glass Containers","$3B (Small)"
"CPE","Callon Petroleum Co","Domestic","26.68%","2.16","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","$3B (Small)"
"DY","Dycom Industries Inc","Domestic","5.21%","29.31","Industrials","Construction & Engineering","Construction & Engineering","$3B (Small)"
"STR","Sitio Royalties Corp","Domestic","14.30%","26.85","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","$3B (Small)"
"KLIC","Kulicke and Soffa Industries Inc","Domestic","33.48%","6.67","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductor Equipment","$3B (Small)"
"NTCT","Netscout Systems Inc","Domestic","1.96%","56.21","Information Technology","Communications Equipment","Communications Equipment","$3B (Small)"
"MGPI","MGP Ingredients Inc","Domestic","12.02%","23.24","Consumer Staples","Beverages","Distillers & Vintners","$3B (Small)"
"WERN","Werner Enterprises Inc","Domestic","11.17%","10.85","Industrials","Road & Rail","Trucking","$3B (Small)"
"SHOO","Steven Madden Ltd","Domestic","27.33%","11.00","Consumer Discretionary","Textiles, Apparel & Luxury Goods","Footwear","$3B (Small)"
"HUBG","Hub Group Inc","Domestic","19.78%","7.63","Industrials","Air Freight & Logistics","Air Freight & Logistics","$3B (Small)"
"WIRE","Encore Wire Corp","Domestic","47.46%","4.17","Industrials","Electrical Equipment","Electrical Components & Equipment","$3B (Small)"
"UNFI","United Natural Foods Inc","Domestic","4.98%","11.43","Consumer Staples","Food & Staples Retailing","Food Distributors","$3B (Small)"
"GLNG","Golar LNG Ltd","Domestic","30.18%","3.40","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Storage & Transportation","$3B (Small)"
"MXL","Maxlinear Inc","Domestic","14.77%","23.31","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductors","$3B (Small)"
"IOSP","Innospec Inc","Domestic","10.64%","21.38","Materials","Chemicals","Specialty Chemicals","$3B (Small)"
"PK","Park Hotels & Resorts Inc","Domestic","0.79%","43.17","Real Estate","Equity Real Estate Investment Trusts (REITs)","Hotel & Resort REITs","$3B (Small)"
"CCOI","Cogent Communications Holdings Inc","Domestic","2.56%","119.29","Communication Services","Diversified Telecommunication Services","Alternative Carriers","$3B (Small)"
"CORT","Corcept Therapeutics Inc","Domestic","22.90%","26.18","Health Care","Pharmaceuticals","Pharmaceuticals","$3B (Small)"
"GPI","Group 1 Automotive Inc","Domestic","18.23%","4.22","Consumer Discretionary","Specialty Retail","Automotive Retail","$3B (Small)"
"ARCH","Arch Resources Inc","Domestic","63.70%","2.96","Energy","Oil, Gas & Consumable Fuels","Coal & Consumable Fuels","$3B (Small)"
"DORM","Dorman Products Inc","Domestic","13.00%","20.49","Consumer Discretionary","Auto Components","Auto Parts & Equipment","$3B (Small)"
"PDCO","Patterson Companies Inc","Domestic","11.32%","14.67","Health Care","Health Care Providers & Services","Health Care Distributors","$3B (Small)"
"ESMT","EngageSmart Inc","Domestic","1.86%","195.77","Information Technology","Software","Application Software","$3B (Small)"
"AZEK","Azek Company Inc","Domestic","5.75%","24.43","Industrials","Building Products","Building Products","$3B (Small)"
"BCO","Brinks Co","Domestic","4.36%","17.00","Industrials","Commercial Services & Supplies","Security & Alarm Services","$3B (Small)"
"AMED","Amedisys Inc","Domestic","8.01%","23.67","Health Care","Health Care Providers & Services","Health Care Services","$3B (Small)"
"LXP","LXP Industrial Trust","Domestic","8.71%","9.56","Real Estate","Equity Real Estate Investment Trusts (REITs)","Industrial REITs","$3B (Small)"
"LESL","Leslie's Inc","Domestic","21.94%","19.92","Consumer Discretionary","Specialty Retail","Specialty Stores","$3B (Small)"
"BMBL","Bumble Inc","Domestic","1.10%","190.11","Communication Services","Interactive Media & Services","Interactive Media & Services","$3B (Small)"
"WOR","Worthington Industries Inc","Domestic","12.61%","9.31","Materials","Metals & Mining","Steel","$3B (Small)"
"SITC","Site Centers Corp","Domestic","5.16%","15.34","Real Estate","Equity Real Estate Investment Trusts (REITs)","Retail REITs","$3B (Small)"
"AAWW","Atlas Air Worldwide Holdings Inc","Domestic","8.21%","8.14","Industrials","Air Freight & Logistics","Air Freight & Logistics","$3B (Small)"
"NOG","Northern Oil and Gas Inc","Domestic","53.91%","4.09","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","$3B (Small)"
"MRCY","Mercury Systems Inc","Domestic","0.21%","747.70","Industrials","Aerospace & Defense","Aerospace & Defense","$3B (Small)"
"ELF","elf Beauty Inc","Domestic","7.61%","86.77","Consumer Staples","Personal Products","Personal Products","$3B (Small)"
"AEO","American Eagle Outfitters Inc","Domestic","4.12%","26.95","Consumer Discretionary","Specialty Retail","Apparel Retail","$3B (Small)"
"CRI","Carter's Inc","Domestic","11.44%","11.35","Consumer Discretionary","Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods","$3B (Small)"
"ARLP","Alliance Resource Partners LP","Domestic","19.86%","7.19","Energy","Oil, Gas & Consumable Fuels","Coal & Consumable Fuels","$3B (Small)"
"ACA","Arcosa Inc","Domestic","3.42%","28.99","Industrials","Construction & Engineering","Construction & Engineering","$3B (Small)"
"EQC","Equity Commonwealth","Domestic","0.49%","426.17","Real Estate","Equity Real Estate Investment Trusts (REITs)","Office REITs","$3B (Small)"
"CVLT","Commvault Systems Inc","Domestic","5.98%","115.42","Information Technology","Software","Systems Software","$3B (Small)"
"AHCO","Adapthealth Corp","Domestic","2.08%","33.78","Health Care","Health Care Providers & Services","Health Care Distributors","$3B (Small)"
"SKY","Skyline Champion Corp","Domestic","44.55%","7.02","Consumer Discretionary","Household Durables","Homebuilding","$3B (Small)"
"STAA","STAAR Surgical Co","Domestic","12.06%","78.59","Health Care","Health Care Equipment & Supplies","Health Care Supplies","$3B (Small)"
"BCC","Boise Cascade Co","Domestic","40.44%","3.22","Industrials","Trading Companies & Distributors","Trading Companies & Distributors","$3B (Small)"
"FWRD","Forward Air Corp","Domestic","19.64%","15.74","Industrials","Air Freight & Logistics","Air Freight & Logistics","$3B (Small)"
"PZZA","Papa John's International Inc","Domestic","12.96%","43.64","Consumer Discretionary","Hotels, Restaurants & Leisure","Restaurants","$3B (Small)"
"MCW","Mister Car Wash Inc","Domestic","5.93%","23.22","Consumer Discretionary","Diversified Consumer Services","Specialized Consumer Services","$3B (Small)"
"STNG","Scorpio Tankers Inc","Domestic","7.52%","10.70","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Storage & Transportation","$3B (Small)"
"IPAR","Inter Parfums Inc","Domestic","17.78%","28.51","Consumer Staples","Personal Products","Personal Products","$3B (Small)"
"OUT","OUTFRONT Media Inc","Domestic","2.97%","19.68","Real Estate","Equity Real Estate Investment Trusts (REITs)","Specialized REITs","$3B (Small)"
"JBT","John Bean Technologies Corp","Domestic","7.19%","23.68","Industrials","Machinery","Industrial Machinery","$3B (Small)"
"DEI","Douglas Emmett Inc","Domestic","1.17%","32.30","Real Estate","Equity Real Estate Investment Trusts (REITs)","Office REITs","$3B (Small)"
"NGVT","Ingevity Corp","Domestic","10.67%","13.59","Materials","Chemicals","Specialty Chemicals","$3B (Small)"
"WOOF","Petco Health and Wellness Company Inc","Domestic","1.94%","21.55","Consumer Discretionary","Specialty Retail","Specialty Stores","$3B (Small)"
"ENOV","Enovis Corp","Domestic","0.53%","116.71","Health Care","Health Care Equipment & Supplies","Health Care Equipment","$3B (Small)"
"FSS","Federal Signal Corp","Domestic","8.63%","28.51","Industrials","Machinery","Construction Machinery & Heavy Trucks","$3B (Small)"
"PLXS","Plexus Corp","Domestic","10.16%","22.21","Information Technology","Electronic Equipment, Instruments & Components","Electronic Manufacturing Services","$3B (Small)"
"KOS","Kosmos Energy Ltd","Domestic","10.96%","7.02","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","$3B (Small)"
"BNL","Broadstone Net Lease Inc","Domestic","2.71%","24.72","Real Estate","Equity Real Estate Investment Trusts (REITs)","Diversified REITs","$3B (Small)"
"SIG","Signet Jewelers Ltd","Domestic","10.76%","9.79","Consumer Discretionary","Specialty Retail","Specialty Stores","$3B (Small)"
"SEM","Select Medical Holdings Corp","Domestic","3.83%","16.92","Health Care","Health Care Providers & Services","Health Care Facilities","$3B (Small)"
"PBH","Prestige Consumer Healthcare Inc","Domestic","5.92%","14.81","Health Care","Pharmaceuticals","Pharmaceuticals","$3B (Small)"
"ABM","ABM Industries Inc","Domestic","7.05%","14.37","Industrials","Commercial Services & Supplies","Environmental & Facilities Services","$3B (Small)"
"GO","Grocery Outlet Holding Corp","Domestic","2.30%","55.75","Consumer Staples","Food & Staples Retailing","Food Retail","$3B (Small)"
"AVNT","Avient Corp","Domestic","2.93%","23.57","Materials","Chemicals","Specialty Chemicals","$3B (Small)"
"KFY","Korn Ferry","Domestic","13.68%","9.34","Industrials","Professional Services","Human Resource & Employment Services","$3B (Small)"
"VNT","Vontier Corp","Domestic","13.35%","7.17","Information Technology","Electronic Equipment, Instruments & Components","Electronic Equipment & Instruments","$3B (Small)"
"TEX","Terex Corp","Domestic","12.82%","11.81","Industrials","Machinery","Construction Machinery & Heavy Trucks","$3B (Small)"
"HIW","Highwoods Properties Inc","Domestic","4.86%","12.00","Real Estate","Equity Real Estate Investment Trusts (REITs)","Office REITs","$3B (Small)"
"MTH","Meritage Homes Corp","Domestic","21.92%","3.23","Consumer Discretionary","Household Durables","Homebuilding","$3B (Small)"
"SSRM","SSR Mining Inc","Domestic","6.31%","14.75","Materials","Metals & Mining","Gold","$3B (Small)"
"EPR","EPR Properties","Domestic","3.29%","19.90","Real Estate","Equity Real Estate Investment Trusts (REITs)","Specialized REITs","$3B (Small)"
"CEQP","Crestwood Equity Partners LP","Domestic","2.11%","94.16","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Storage & Transportation","$3B (Small)"
"LBRT","Liberty Energy Inc","Domestic","11.68%","17.02","Energy","Energy Equipment & Services","Oil & Gas Equipment & Services","$3B (Small)"
"OFC","Corporate Office Properties Trust","Domestic","2.85%","29.42","Real Estate","Equity Real Estate Investment Trusts (REITs)","Office REITs","$3B (Small)"
"SXT","Sensient Technologies Corp","Domestic","9.00%","22.34","Materials","Chemicals","Specialty Chemicals","$3B (Small)"
"NEU","NewMarket Corp","Domestic","10.42%","15.47","Materials","Chemicals","Specialty Chemicals","$3B (Small)"
"GHC","Graham Holdings Co","Domestic","2.54%","21.79","Consumer Discretionary","Diversified Consumer Services","Education Services","$3B (Small)"
"TNL","Travel + Leisure Co","Domestic","7.18%","8.67","Consumer Discretionary","Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines","$3B (Small)"
"JJSF","J & J Snack Foods Corp","Domestic","4.75%","65.68","Consumer Staples","Food Products","Packaged Foods & Meats","$3B (Small)"
"TMHC","Taylor Morrison Home Corp","Domestic","14.87%","3.27","Consumer Discretionary","Household Durables","Homebuilding","$3B (Small)"
"GOLF","Acushnet Holdings Corp","Domestic","11.31%","18.86","Consumer Discretionary","Leisure Products","Leisure Products","$3B (Small)"
"ENS","EnerSys","Domestic","4.43%","24.64","Industrials","Electrical Equipment","Electrical Components & Equipment","$3B (Small)"
"PGNY","Progyny Inc","Domestic","14.35%","80.67","Health Care","Health Care Providers & Services","Managed Health Care","$3B (Small)"
"NCR","NCR Corp","Domestic","1.51%","27.85","Information Technology","Software","Application Software","$3B (Small)"
"RCM","R1 RCM Holdco Inc","Domestic","0.52%","93.74","Health Care","Health Care Providers & Services","Health Care Services","$3B (Small)"
"SPXC","SPX Technologies Inc","Domestic","3.02%","52.38","Industrials","Machinery","Industrial Machinery","$3B (Small)"
"EYE","National Vision Holdings Inc","Domestic","2.87%","56.52","Consumer Discretionary","Specialty Retail","Specialty Stores","$3B (Small)"
"AIN","Albany International Corp","Domestic","7.83%","30.65","Industrials","Machinery","Industrial Machinery","$3B (Small)"
"GT","Goodyear Tire & Rubber Co","Domestic","5.75%","3.75","Consumer Discretionary","Auto Components","Tires & Rubber","$3B (Small)"
"VSH","Vishay Intertechnology Inc","Domestic","13.89%","8.34","Information Technology","Electronic Equipment, Instruments & Components","Electronic Components","$3B (Small)"
"EE","Excelerate Energy Inc","Domestic","2.55%","1,865.67","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Storage & Transportation","$3B (Small)"
"IIPR","Innovative Industrial Properties Inc","Domestic","6.72%","22.56","Real Estate","Equity Real Estate Investment Trusts (REITs)","Industrial REITs","$3B (Small)"
"AMRC","Ameresco Inc","Domestic","5.94%","32.15","Industrials","Construction & Engineering","Construction & Engineering","$3B (Small)"
"EPRT","Essential Properties Realty Trust Inc","Domestic","3.81%","23.61","Real Estate","Equity Real Estate Investment Trusts (REITs)","Diversified REITs","$3B (Small)"
"GTES","Gates Industrial Corporation PLC","Domestic","3.65%","17.16","Industrials","Machinery","Industrial Machinery","$3B (Small)"
"DOC","Physicians Realty Trust","Domestic","2.85%","27.34","Real Estate","Equity Real Estate Investment Trusts (REITs)","Health Care REITs","$3B (Small)"
"TDC","Teradata Corp","Domestic","6.65%","49.60","Information Technology","Software","Systems Software","$3B (Small)"
"PLTK","Playtika Holding Corp","Domestic","12.57%","13.21","Communication Services","Entertainment","Interactive Home Entertainment","$3B (Small)"
"HI","Hillenbrand Inc","Domestic","7.52%","16.88","Industrials","Machinery","Industrial Machinery","$3B (Small)"
"FL","Foot Locker Inc","Domestic","6.68%","8.21","Consumer Discretionary","Specialty Retail","Apparel Retail","$3B (Small)"
"CRC","California Resources Corp","Domestic","42.47%","3.24","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","$3B (Small)"
"AEIS","Advanced Energy Industries Inc","Domestic","13.15%","17.47","Information Technology","Electronic Equipment, Instruments & Components","Electronic Equipment & Instruments","$3B (Small)"
"BDC","Belden Inc","Domestic","6.05%","22.93","Information Technology","Electronic Equipment, Instruments & Components","Electronic Components","$3B (Small)"
"BMI","Badger Meter Inc","Domestic","14.53%","51.93","Information Technology","Electronic Equipment, Instruments & Components","Electronic Equipment & Instruments","$3B (Small)"
"NEOG","Neogen Corp","Domestic","4.07%","47.04","Health Care","Health Care Equipment & Supplies","Health Care Supplies","$3B (Small)"
"HRMY","Harmony Biosciences Holdings Inc","Domestic","35.40%","22.70","Health Care","Pharmaceuticals","Pharmaceuticals","$3B (Small)"
"SYNH","Syneos Health Inc","Domestic","4.41%","12.14","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services","$3B (Small)"
"TWNK","Hostess Brands Inc","Domestic","5.09%","21.32","Consumer Staples","Food Products","Packaged Foods & Meats","$3B (Small)"
"KWR","Quaker Chemical Corp","Domestic","3.09%","44.30","Materials","Chemicals","Specialty Chemicals","$3B (Small)"
"SUM","Summit Materials Inc","Domestic","7.41%","12.37","Materials","Construction Materials","Construction Materials","$3B (Small)"
"HHC","Howard Hughes Corp","Domestic","2.89%","14.31","Real Estate","Real Estate Management & Development","Real Estate Development","$3B (Small)"
"SEAS","SeaWorld Entertainment Inc","Domestic","14.83%","12.35","Consumer Discretionary","Hotels, Restaurants & Leisure","Leisure Facilities","$3B (Small)"
"LOPE","Grand Canyon Education Inc","Domestic","18.36%","20.04","Consumer Discretionary","Diversified Consumer Services","Education Services","$3B (Small)"
"AWI","Armstrong World Industries Inc","Domestic","12.71%","18.67","Industrials","Building Products","Building Products","$3B (Small)"
"SFM","Sprouts Farmers Market Inc","Domestic","10.27%","14.45","Consumer Staples","Food & Staples Retailing","Food Retail","$3B (Small)"
"OLPX","Olaplex Holdings Inc","Domestic","18.43%","13.36","Consumer Staples","Personal Products","Personal Products","$4B (Small)"
"YETI","Yeti Holdings Inc","Domestic","28.76%","18.95","Consumer Discretionary","Leisure Products","Leisure Products","$4B (Small)"
"CHGG","Chegg Inc","Domestic","10.89%","14.38","Consumer Discretionary","Diversified Consumer Services","Education Services","$4B (Small)"
"UNF","UniFirst Corp","Domestic","4.80%","35.11","Industrials","Commercial Services & Supplies","Diversified Support Services","$4B (Small)"
"NSA","National Storage Affiliates Trust","Domestic","3.91%","41.44","Real Estate","Equity Real Estate Investment Trusts (REITs)","Specialized REITs","$4B (Small)"
"JWN","Nordstrom Inc","Domestic","5.93%","11.77","Consumer Discretionary","Multiline Retail","Department Stores","$4B (Small)"
"NSIT","Insight Enterprises Inc","Domestic","10.58%","14.35","Information Technology","Electronic Equipment, Instruments & Components","Technology Distributors","$4B (Small)"
"SUN","Sunoco LP","Domestic","10.58%","8.34","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Refining & Marketing","$4B (Small)"
"VIR","Vir Biotechnology Inc","Domestic","67.93%","3.22","Health Care","Biotechnology","Biotechnology","$4B (Small)"
"MRVI","Maravai LifeSciences Holdings Inc","Domestic","30.92%","6.11","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services","$4B (Small)"
"FOUR","Shift4 Payments Inc","Domestic","1.68%","113.86","Information Technology","IT Services","Data Processing & Outsourced Services","$4B (Small)"
"OLLI","Ollie's Bargain Outlet Holdings Inc","Domestic","5.34%","39.81","Consumer Discretionary","Multiline Retail","General Merchandise Stores","$4B (Small)"
"MSGS","Madison Square Garden Sports Corp","Domestic","5.50%","75.32","Communication Services","Entertainment","Movies & Entertainment","$4B (Small)"
"PECO","Phillips Edison & Co Inc","Domestic","0.79%","126.13","Real Estate","Equity Real Estate Investment Trusts (REITs)","Retail REITs","$4B (Small)"
"LITE","Lumentum Holdings Inc","Domestic","3.60%","34.78","Information Technology","Communications Equipment","Communications Equipment","$4B (Small)"
"KSS","Kohls Corp","Domestic","4.65%","7.51","Consumer Discretionary","Multiline Retail","Department Stores","$4B (Small)"
