"Symbol","Description","Universe","Return on Invested Capital (TTM)","Price/Earnings (TTM)","Sector","Industry","Same Sub-Industry As","Market Capitalization"
"KMT","Kennametal Inc","Domestic","6.83%","16.12","Industrials","Machinery","Industrial Machinery","$2B (Small)"
"EVTC","Evertec Inc","Domestic","26.60%","9.08","Information Technology","IT Services","Data Processing & Outsourced Services","$2B (Small)"
"MNRL","Brigham Minerals Inc","Domestic","24.28%","14.59","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","$2B (Small)"
"ODP","ODP Corp","Domestic","6.11%","13.33","Consumer Discretionary","Specialty Retail","Specialty Stores","$2B (Small)"
"ARNC","Arconic Corp (PITTSBURGH)","Domestic","1.20%","44.74","Materials","Metals & Mining","Aluminum","$2B (Small)"
"TROX","Tronox Holdings PLC","Domestic","11.46%","3.78","Materials","Chemicals","Commodity Chemicals","$2B (Small)"
"RUSHA","Rush Enterprises Inc","Domestic","16.82%","8.23","Industrials","Trading Companies & Distributors","Trading Companies & Distributors","$2B (Small)"
"SITM","SiTime Corp","Domestic","8.61%","51.70","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductors","$2B (Small)"
"BKE","Buckle Inc","Domestic","35.85%","8.71","Consumer Discretionary","Specialty Retail","Apparel Retail","$2B (Small)"
"KAI","Kadant Inc","Domestic","13.14%","18.60","Industrials","Machinery","Industrial Machinery","$2B (Small)"
"LGIH","LGI Homes Inc","Domestic","16.47%","5.65","Consumer Discretionary","Household Durables","Homebuilding","$2B (Small)"
"PCRX","Pacira Biosciences Inc","Domestic","1.53%","122.01","Health Care","Pharmaceuticals","Pharmaceuticals","$2B (Small)"
"WLY","John Wiley & Sons Inc","Domestic","4.62%","23.09","Communication Services","Media","Publishing","$2B (Small)"
"SONO","Sonos Inc","Domestic","10.25%","41.55","Consumer Discretionary","Household Durables","Consumer Electronics","$2B (Small)"
"HELE","Helen of Troy Ltd","Domestic","7.69%","13.24","Consumer Discretionary","Household Durables","Household Appliances","$2B (Small)"
"TTEC","TTEC Holdings Inc","Domestic","8.01%","20.48","Information Technology","IT Services","Data Processing & Outsourced Services","$2B (Small)"
"PSMT","PriceSmart Inc","Domestic","8.71%","21.51","Consumer Staples","Food & Staples Retailing","Hypermarkets & Super Centers","$2B (Small)"
"FUN","Cedar Fair LP","Domestic","12.32%","8.76","Consumer Discretionary","Hotels, Restaurants & Leisure","Leisure Facilities","$2B (Small)"
"SHC","Sotera Health Co","Domestic","4.63%","18.49","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services","$2B (Small)"
"MDC","MDC Holdings Inc","Domestic","14.75%","3.59","Consumer Discretionary","Household Durables","Homebuilding","$2B (Small)"
"STGW","Stagwell Inc","Domestic","4.49%","312.09","Communication Services","Media","Advertising","$2B (Small)"
"JBGS","JBG SMITH Properties","Domestic","1.07%","50.46","Real Estate","Equity Real Estate Investment Trusts (REITs)","Office REITs","$2B (Small)"
