"Symbol","Description","Universe","Return on Invested Capital (TTM)","Price/Earnings (TTM)","Sector","Industry","Same Sub-Industry As","Market Capitalization"
"NUS","NU Skin Enterprises Inc","Domestic","2.71%","53.26","Consumer Staples","Personal Products","Personal Products","$2B (Micro)"
"NS","NuStar Energy LP","Domestic","3.80%","44.88","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Storage & Transportation","$2B (Micro)"
"NUVR","Nuvera Communications Inc","Domestic","4.71%","11.27","Communication Services","Diversified Telecommunication Services","Integrated Telecommunication Services","$93M (Micro)"
"NVEC","NVE Corp","Domestic","26.37%","18.68","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductors","$327M (Micro)"
"OPI","Office Properties Income Trust","Domestic","0.20%","165.76","Real Estate","Equity Real Estate Investment Trusts (REITs)","Office REITs","$740M (Micro)"
"ODC","Oil-Dri Corporation of America","Domestic","2.88%","39.90","Consumer Staples","Household Products","Household Products","$230M (Micro)"
"ZEUS","Olympic Steel Inc","Domestic","14.45%","3.66","Materials","Metals & Mining","Steel","$395M (Micro)"
"OFLX","Omega Flex Inc","Domestic","37.62%","38.30","Industrials","Machinery","Industrial Machinery","$959M (Micro)"
"OTLC","Oncotelic Therapeutics Inc","Domestic","42.40%","4.76","Health Care","Biotechnology","Biotechnology","$31M (Micro)"
"STKS","One Group Hospitality Inc","Domestic","7.43%","15.29","Consumer Discretionary","Hotels, Restaurants & Leisure","Restaurants","$210M (Micro)"
"OLP","One Liberty Properties Inc","Domestic","5.46%","12.86","Real Estate","Equity Real Estate Investment Trusts (REITs)","Diversified REITs","$510M (Micro)"
"OSS","One Stop Systems Inc","Domestic","1.45%","104.37","Information Technology","Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals","$63M (Micro)"
"OSW","Onespaworld Holdings Ltd","Domestic","6.99%","21.60","Consumer Discretionary","Diversified Consumer Services","Specialized Consumer Services","$794M (Micro)"
"ONEW","OneWater Marine Inc","Domestic","21.05%","3.55","Consumer Discretionary","Specialty Retail","Automotive Retail","$506M (Micro)"
"ONVC","Online Vacation Center Holdings Corp","Domestic","26.19%","35.00","Consumer Discretionary","Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines","$11M (Micro)"
"OPAL","Opal Fuels Inc","Domestic","0.93%","79.22","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Refining & Marketing","$1B (Micro)"
"OPST","Opt-Sciences Corp","Domestic","10.56%","12.91","Industrials","Aerospace & Defense","Aerospace & Defense","$20M (Micro)"
"OPXS","Optex Systems Holdings Inc","Domestic","3.12%","46.32","Industrials","Aerospace & Defense","Aerospace & Defense","$25M (Micro)"
"ORBT","Orbit International Corp","Domestic","8.26%","11.63","Industrials","Electrical Equipment","Electrical Components & Equipment","$21M (Micro)"
"ORGO","Organogenesis Holdings Inc","Domestic","18.48%","5.94","Health Care","Biotechnology","Biotechnology","$355M (Micro)"
"ORGN","Origin Materials Inc","Domestic","13.73%","11.17","Materials","Chemicals","Commodity Chemicals","$761M (Micro)"
"OEC","Orion Engineered Carbons SA","Domestic","7.66%","12.06","Materials","Chemicals","Commodity Chemicals","$1B (Micro)"
"KIDS","OrthoPediatrics Corp","Domestic","2.71%","110.50","Health Care","Health Care Equipment & Supplies","Health Care Supplies","$980M (Micro)"
"OSIS","OSI Systems Inc","Domestic","12.96%","14.53","Information Technology","Electronic Equipment, Instruments & Components","Electronic Equipment & Instruments","$1B (Micro)"
"OB","Outbrain Inc","Domestic","4.59%","11.90","Communication Services","Interactive Media & Services","Interactive Media & Services","$219M (Micro)"
"OSG","Overseas Shipholding Group Inc","Domestic","1.37%","20.86","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Storage & Transportation","$248M (Micro)"
"OSTK","Overstock.com Inc","Domestic","1.78%","95.99","Consumer Discretionary","Internet & Direct Marketing Retail","Internet & Direct Marketing Retail","$1B (Micro)"
"OMI","Owens & Minor Inc","Domestic","4.01%","12.23","Health Care","Health Care Providers & Services","Health Care Distributors","$2B (Micro)"
"OXM","Oxford Industries Inc","Domestic","22.88%","11.48","Consumer Discretionary","Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods","$2B (Micro)"
"PFIN","P&F Industries Inc","Domestic","0.07%","643.21","Industrials","Machinery","Industrial Machinery","$17M (Micro)"
"ROYTL","Pacific Coast Oil Trust","Domestic","6.15%","1.36","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","$17M (Micro)"
"PFHO","Pacific Health Care Organization Inc","Domestic","7.46%","12.17","Health Care","Health Care Providers & Services","Managed Health Care","$10M (Micro)"
"PTVE","Pactiv Evergreen Inc","Domestic","2.50%","13.68","Materials","Containers & Packaging","Paper Packaging","$2B (Micro)"
"PTSI","PAM Transportation Services Inc","Domestic","19.26%","6.38","Industrials","Road & Rail","Trucking","$633M (Micro)"
"PANL","Pangaea Logistics Solutions Ltd","Domestic","15.95%","2.79","Industrials","Marine","Marine","$225M (Micro)"
"PARR","Par Pacific Holdings Inc","Domestic","22.02%","5.20","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Refining & Marketing","$2B (Micro)"
"PGNT","Paragon Technologies Inc","Domestic","35.10%","3.08","Information Technology","Electronic Equipment, Instruments & Components","Technology Distributors","$12M (Micro)"
"PGRE","Paramount Group Inc","Domestic","0.23%","522.99","Real Estate","Equity Real Estate Investment Trusts (REITs)","Office REITs","$1B (Micro)"
"PKE","Park Aerospace Corp","Domestic","4.88%","36.62","Industrials","Aerospace & Defense","Aerospace & Defense","$274M (Micro)"
"PCYG","Park City Group Inc","Domestic","9.55%","26.04","Information Technology","Software","Application Software","$94M (Micro)"
"PRKA","Parks! America Inc","Domestic","5.26%","24.57","Consumer Discretionary","Hotels, Restaurants & Leisure","Leisure Facilities","$25M (Micro)"
"PATK","Patrick Industries Inc","Domestic","15.83%","3.84","Consumer Discretionary","Auto Components","Auto Parts & Equipment","$1B (Micro)"
"PGOL","Patriot Gold Corp","Domestic","13.55%","8.70","Materials","Metals & Mining","Gold","$4M (Micro)"
"PATI","Patriot Transportation Holding Inc","Domestic","16.59%","4.54","Industrials","Road & Rail","Trucking","$29M (Micro)"
"MUEL","Paul Mueller Co","Domestic","2.40%","30.25","Industrials","Machinery","Industrial Machinery","$50M (Micro)"
"PAYA","Paya Holdings Inc","Domestic","1.82%","109.21","Information Technology","IT Services","Data Processing & Outsourced Services","$1B (Micro)"
"PAY","Paymentus Holdings Inc","Domestic","0.80%","391.27","Information Technology","IT Services","Data Processing & Outsourced Services","$1B (Micro)"
"PAYS","Paysign Inc","Domestic","2.44%","377.78","Information Technology","IT Services","Data Processing & Outsourced Services","$151M (Micro)"
"PBFX","PBF Logistics LP","Domestic","25.85%","9.07","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Storage & Transportation","$1B (Micro)"
"CNXN","PC Connection Inc","Domestic","12.36%","15.72","Information Technology","Electronic Equipment, Instruments & Components","Technology Distributors","$1B (Micro)"
"PCTI","PCTEL Inc","Domestic","1.62%","74.21","Information Technology","Communications Equipment","Communications Equipment","$86M (Micro)"
"PED","PEDEVCO Corp","Domestic","4.40%","25.15","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","$104M (Micro)"
"MD","Pediatrix Medical Group Inc","Domestic","3.73%","16.65","Health Care","Health Care Providers & Services","Health Care Services","$1B (Micro)"
"PNTG","Pennant Group Inc","Domestic","0.27%","396.14","Health Care","Health Care Providers & Services","Health Care Facilities","$293M (Micro)"
"PRDO","Perdoceo Education Corp","Domestic","14.29%","9.50","Consumer Discretionary","Diversified Consumer Services","Education Services","$962M (Micro)"
"PPIH","Perma-Pipe International Holdings Inc","Domestic","5.42%","17.55","Industrials","Machinery","Industrial Machinery","$74M (Micro)"
"PBT","Permian Basin Royalty Trust","Domestic","2,906.94%","22.52","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","$935M (Micro)"
"PVL","Permianville Royalty Trust","Domestic","17.57%","10.12","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","$114M (Micro)"
"PRT","PermRock Royalty Trust","Domestic","13.52%","8.16","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","$93M (Micro)"
"PETS","Petmed Express Inc","Domestic","11.13%","26.10","Consumer Discretionary","Internet & Direct Marketing Retail","Internet & Direct Marketing Retail","$424M (Micro)"
"PGTI","PGT Innovations Inc","Domestic","8.40%","11.98","Industrials","Building Products","Building Products","$1B (Micro)"
"PAHC","Phibro Animal Health Corp","Domestic","6.37%","10.92","Health Care","Pharmaceuticals","Pharmaceuticals","$508M (Micro)"
"PLAB","Photronics Inc","Domestic","16.41%","11.36","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductor Equipment","$1B (Micro)"
"PHX","PHX Minerals Inc","Domestic","6.47%","17.72","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","$133M (Micro)"
"PDM","Piedmont Office Realty Trust Inc","Domestic","1.03%","32.13","Real Estate","Equity Real Estate Investment Trusts (REITs)","Office REITs","$1B (Micro)"
"PBI","Pitney Bowes Inc","Domestic","1.04%","20.08","Industrials","Commercial Services & Supplies","Office Services & Supplies","$640M (Micro)"
"PLYA","Playa Hotels & Resorts NV","Domestic","3.75%","14.26","Consumer Discretionary","Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines","$987M (Micro)"
"POL","Polished.Com Inc","Domestic","12.77%","3.16","Consumer Discretionary","Internet & Direct Marketing Retail","Internet & Direct Marketing Retail","$67M (Micro)"
"PSTL","Postal Realty Trust Inc","Domestic","1.12%","119.50","Real Estate","Equity Real Estate Investment Trusts (REITs)","Office REITs","$301M (Micro)"
"POWL","Powell Industries Inc","Domestic","2.65%","38.76","Industrials","Electrical Equipment","Electrical Components & Equipment","$314M (Micro)"
"PW","Power REIT","Domestic","3.55%","7.18","Real Estate","Equity Real Estate Investment Trusts (REITs)","Specialized REITs","$18M (Micro)"
"PLPC","Preformed Line Products Co","Domestic","11.87%","9.44","Industrials","Electrical Equipment","Electrical Components & Equipment","$437M (Micro)"
"PNRG","Primeenergy Resources Corp","Domestic","15.85%","9.01","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","$155M (Micro)"
"PRIM","Primoris Services Corp","Domestic","5.84%","9.59","Industrials","Construction & Engineering","Construction & Engineering","$1B (Micro)"
"PDEX","Pro-Dex Inc","Domestic","10.75%","16.77","Health Care","Health Care Equipment & Supplies","Health Care Equipment","$62M (Micro)"
"PFIE","Profire Energy Inc","Domestic","4.37%","25.32","Energy","Energy Equipment & Services","Oil & Gas Equipment & Services","$48M (Micro)"
"PRPH","Prophase Labs Inc","Domestic","37.04%","8.77","Health Care","Pharmaceuticals","Pharmaceuticals","$167M (Micro)"
"PRLB","Proto Labs Inc","Domestic","2.73%","30.40","Industrials","Machinery","Industrial Machinery","$704M (Micro)"
"PUBM","PubMatic Inc","Domestic","20.82%","15.74","Communication Services","Media","Advertising","$793M (Micro)"
"PBYI","Puma Biotechnology Inc","Domestic","7.90%","20.58","Health Care","Biotechnology","Biotechnology","$208M (Micro)"
"QEPC","QEP Co Inc","Domestic","4.93%","10.17","Consumer Discretionary","Household Durables","Household Appliances","$51M (Micro)"
"NX","Quanex Building Products Corp","Domestic","9.98%","13.89","Industrials","Building Products","Building Products","$801M (Micro)"
"RCMT","R C M Technologies Inc","Domestic","57.34%","7.43","Industrials","Professional Services","Research & Consulting Services","$149M (Micro)"
"METC","Ramaco Resources Inc","Domestic","36.15%","4.15","Materials","Metals & Mining","Steel","$491M (Micro)"
"RWWI","Rand Worldwide Inc","Domestic","10.13%","197.97","Information Technology","Software","Application Software","$654M (Micro)"
"RNGR","Ranger Energy Services Inc","Domestic","14.09%","9.63","Energy","Energy Equipment & Services","Oil & Gas Equipment & Services","$285M (Micro)"
"ROCC","Ranger Oil Corp","Domestic","41.90%","4.44","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","$2B (Micro)"
"RAVE","Rave Restaurant Group Inc","Domestic","69.41%","3.42","Consumer Discretionary","Hotels, Restaurants & Leisure","Restaurants","$25M (Micro)"
"RICK","RCI Hospitality Holdings Inc","Domestic","9.38%","22.19","Consumer Discretionary","Hotels, Restaurants & Leisure","Leisure Facilities","$823M (Micro)"
"RMAX","Re/Max Holdings Inc","Domestic","1.69%","34.89","Real Estate","Real Estate Management & Development","Real Estate Services","$352M (Micro)"
"REGX","Red Trail Energy LLC","Domestic","33.39%","4.24","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Refining & Marketing","$121M (Micro)"
"RDVT","Red Violet Inc","Domestic","0.61%","1,033.84","Industrials","Professional Services","Research & Consulting Services","$306M (Micro)"
"RSCF","Reflect Scientific Inc","Domestic","38.18%","7.14","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services","$6M (Micro)"
"RGNX","Regenxbio Inc","Domestic","10.13%","24.21","Health Care","Biotechnology","Biotechnology","$971M (Micro)"
"RCII","Rent-A-Center Inc","Domestic","0.92%","74.37","Consumer Discretionary","Specialty Retail","Computer & Electronics Retail","$1B (Micro)"
"RSRV","Reserve Petroleum Co","Domestic","9.23%","10.33","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","$34M (Micro)"
"RSVR","Reservoir Media Inc","Domestic","2.63%","26.29","Communication Services","Entertainment","Movies & Entertainment","$393M (Micro)"
"RGP","Resources Connection Inc","Domestic","16.81%","9.09","Industrials","Professional Services","Research & Consulting Services","$658M (Micro)"
"ROIC","Retail Opportunity Investments Corp","Domestic","1.93%","39.98","Real Estate","Equity Real Estate Investment Trusts (REITs)","Retail REITs","$2B (Micro)"
"RVP","Retractable Technologies Inc","Domestic","18.50%","2.57","Health Care","Health Care Equipment & Supplies","Health Care Supplies","$75M (Micro)"
"REVG","REV Group Inc","Domestic","0.29%","326.36","Industrials","Machinery","Construction Machinery & Heavy Trucks","$834M (Micro)"
"RVLV","Revolve Group Inc","Domestic","23.93%","23.89","Consumer Discretionary","Internet & Direct Marketing Retail","Internet & Direct Marketing Retail","$2B (Micro)"
"REX","REX American Resources Corp","Domestic","14.41%","11.61","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Refining & Marketing","$585M (Micro)"
"RFIL","RF Industries Ltd","Domestic","3.30%","28.57","Information Technology","Electronic Equipment, Instruments & Components","Electronic Manufacturing Services","$51M (Micro)"
"RELL","Richardson Electronics Ltd","Domestic","16.00%","15.60","Information Technology","Electronic Equipment, Instruments & Components","Technology Distributors","$331M (Micro)"
"REPX","Riley Exploration Permian Inc","Domestic","20.86%","9.57","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","$666M (Micro)"
"RMNI","Rimini Street Inc","Domestic","571.54%","6.23","Information Technology","Software","Application Software","$365M (Micro)"
"REI","Ring Energy Inc","Domestic","17.26%","2.88","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","$504M (Micro)"
"RMR","RMR Group Inc","Domestic","29.00%","13.96","Real Estate","Real Estate Management & Development","Diversified Real Estate Activities","$900M (Micro)"
"RCKY","Rocky Brands Inc","Domestic","5.63%","7.76","Consumer Discretionary","Textiles, Apparel & Luxury Goods","Footwear","$205M (Micro)"
"ROG","Rogers Corp","Domestic","5.38%","26.18","Information Technology","Electronic Equipment, Instruments & Components","Electronic Components","$2B (Micro)"
"ROVR","Rover Group Inc","Domestic","2.12%","112.63","Consumer Discretionary","Diversified Consumer Services","Specialized Consumer Services","$865M (Micro)"
"RES","RPC Inc","Domestic","18.38%","14.10","Energy","Energy Equipment & Services","Oil & Gas Equipment & Services","$2B (Micro)"
"RPT","RPT Realty","Domestic","0.82%","123.69","Real Estate","Equity Real Estate Investment Trusts (REITs)","Retail REITs","$944M (Micro)"
"RTME","RTCore Inc","Domestic","1.92%","26.48","Information Technology","Software","Application Software","$188M (Micro)"
"RBCN","Rubicon Technology Inc","Domestic","4.68%","5.98","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductor Equipment","$5M (Micro)"
"RMBL","RumbleOn Inc","Domestic","5.01%","2.37","Consumer Discretionary","Internet & Direct Marketing Retail","Internet & Direct Marketing Retail","$115M (Micro)"
"RUTH","Ruth's Hospitality Group Inc","Domestic","10.19%","15.06","Consumer Discretionary","Hotels, Restaurants & Leisure","Restaurants","$591M (Micro)"
"RYI","Ryerson Holding Corp","Domestic","30.93%","2.20","Materials","Metals & Mining","Steel","$1B (Micro)"
"SBR","Sabine Royalty Trust","Domestic","937.40%","10.37","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","$1B (Micro)"
"SB","Safe Bulkers Inc","Domestic","18.43%","1.82","Industrials","Marine","Marine","$345M (Micro)"
"SAFE","Safehold Inc","Domestic","3.05%","14.06","Real Estate","Equity Real Estate Investment Trusts (REITs)","Specialized REITs","$2B (Micro)"
"SGA","Saga Communications Inc","Domestic","5.20%","12.42","Communication Services","Media","Broadcasting","$151M (Micro)"
"SKAS","Saker Aviation Services Inc","Domestic","21.67%","4.81","Industrials","Transportation Infrastructure","Airport Services","$5M (Micro)"
"SALM","Salem Media Group Inc","Domestic","3.37%","2.32","Communication Services","Media","Broadcasting","$36M (Micro)"
"SBH","Sally Beauty Holdings Inc","Domestic","8.97%","7.22","Consumer Discretionary","Specialty Retail","Specialty Stores","$1B (Micro)"
"SJT","San Juan Basin Royalty Trust","Domestic","1,401.84%","8.20","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","$526M (Micro)"
"SD","SandRidge Energy Inc","Domestic","51.53%","4.40","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","$758M (Micro)"
"SPNS","Sapiens International Corporation NV","Domestic","10.17%","19.94","Information Technology","Software","Application Software","$1B (Micro)"
"BFS","Saul Centers Inc","Domestic","4.08%","26.39","Real Estate","Equity Real Estate Investment Trusts (REITs)","Retail REITs","$1B (Micro)"
"SCSC","Scansource Inc","Domestic","8.20%","8.85","Information Technology","Electronic Equipment, Instruments & Components","Technology Distributors","$789M (Micro)"
"SCHN","Schnitzer Steel Industries Inc","Domestic","13.35%","5.94","Materials","Metals & Mining","Steel","$911M (Micro)"
"SCHL","Scholastic Corp","Domestic","4.75%","24.72","Communication Services","Media","Publishing","$1B (Micro)"
"SCIA","SCI Engineered Materials Inc","Domestic","21.76%","8.36","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductor Equipment","$14M (Micro)"
"SCPL","Sciplay Corp","Domestic","56.11%","22.33","Communication Services","Entertainment","Interactive Home Entertainment","$2B (Micro)"
"SCPJ","Scope Industries","Domestic","4.35%","94.67","Consumer Staples","Food Products","Packaged Foods & Meats","$305M (Micro)"
"ICU","SeaStar Medical Holding Corp","Domestic","3.01%","23.15","Health Care","Health Care Equipment & Supplies","Health Care Equipment","$69M (Micro)"
"WTTR","Select Energy Services Inc","Domestic","8.41%","18.44","Energy","Energy Equipment & Services","Oil & Gas Equipment & Services","$1B (Micro)"
"SELB","Selecta Biosciences Inc","Domestic","36.91%","3.84","Health Care","Biotechnology","Biotechnology","$197M (Micro)"
"SMLR","Semler Scientific Inc","Domestic","26.06%","19.00","Health Care","Health Care Equipment & Supplies","Health Care Equipment","$205M (Micro)"
"SMTC","Semtech Corp","Domestic","15.39%","12.06","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductors","$2B (Micro)"
"SENEA","Seneca Foods Corp","Domestic","5.24%","11.98","Consumer Staples","Food Products","Packaged Foods & Meats","$392M (Micro)"
"SENS","Senseonics Holdings Inc","Domestic","132.40%","3.07","Health Care","Health Care Equipment & Supplies","Health Care Equipment","$555M (Micro)"
"SRTS","Sensus Healthcare Inc","Domestic","77.46%","4.06","Health Care","Health Care Equipment & Supplies","Health Care Equipment","$108M (Micro)"
"SFL","SFL Corporation Ltd","Domestic","8.41%","6.19","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Storage & Transportation","$1B (Micro)"
"SCVL","Shoe Carnival Inc","Domestic","15.28%","6.78","Consumer Discretionary","Specialty Retail","Apparel Retail","$728M (Micro)"
"SSTI","Shotspotter Inc","Domestic","7.92%","103.82","Information Technology","Software","Application Software","$404M (Micro)"
"SSTK","Shutterstock Inc","Domestic","17.09%","22.24","Communication Services","Interactive Media & Services","Interactive Media & Services","$2B (Micro)"
"SHYF","Shyft Group Inc","Domestic","11.96%","22.65","Industrials","Machinery","Construction Machinery & Heavy Trucks","$866M (Micro)"
"SIGA","SIGA Technologies Inc","Domestic","73.57%","6.63","Health Care","Pharmaceuticals","Pharmaceuticals","$683M (Micro)"
"SGMA","SigmaTron International Inc","Domestic","1.59%","11.02","Information Technology","Electronic Equipment, Instruments & Components","Electronic Manufacturing Services","$29M (Micro)"
"SBOW","SilverBow Resources Inc","Domestic","30.84%","2.56","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","$801M (Micro)"
"SLP","Simulations Plus Inc","Domestic","7.15%","67.21","Health Care","Health Care Technology","Health Care Technology","$820M (Micro)"
"SIRE","Sisecam Resources LP","Domestic","34.28%","7.32","Materials","Chemicals","Commodity Chemicals","$428M (Micro)"
"SIX","Six Flags Entertainment Corp","Domestic","7.54%","19.28","Consumer Discretionary","Hotels, Restaurants & Leisure","Leisure Facilities","$2B (Micro)"
"SKYW","SkyWest Inc","Domestic","2.06%","7.10","Industrials","Airlines","Airlines","$883M (Micro)"
"SNBR","Sleep Number Corp","Domestic","1,037.98%","13.00","Consumer Discretionary","Specialty Retail","Homefurnishing Retail","$662M (Micro)"
"SGH","SMART Global Holdings Inc.","Domestic","7.61%","13.59","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductors","$821M (Micro)"
"SWBI","Smith & Wesson Brands Inc","Domestic","31.82%","4.54","Consumer Discretionary","Leisure Products","Leisure Products","$531M (Micro)"
"SMID","Smith-Midland Corp","Domestic","1.92%","141.75","Materials","Construction Materials","Construction Materials","$115M (Micro)"
"SCKT","Socket Mobile Inc","Domestic","2.71%","41.35","Information Technology","Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals","$14M (Micro)"
"SOI","Solaris Oilfield Infrastructure Inc","Domestic","9.10%","22.35","Energy","Energy Equipment & Services","Oil & Gas Equipment & Services","$529M (Micro)"
"SLDP","Solid Power Inc","Domestic","9.64%","2.64","Consumer Discretionary","Auto Components","Auto Parts & Equipment","$793M (Micro)"
"SODI","Solitron Devices Inc","Domestic","8.14%","18.65","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductors","$21M (Micro)"
"SAH","Sonic Automotive Inc","Domestic","14.49%","5.54","Consumer Discretionary","Specialty Retail","Automotive Retail","$2B (Micro)"
"SIMA","Sonics & Materials Inc","Domestic","7.04%","58.06","Industrials","Machinery","Industrial Machinery","$28M (Micro)"
"SOTK","Sono-Tek Corp","Domestic","10.27%","61.03","Information Technology","Electronic Equipment, Instruments & Components","Electronic Equipment & Instruments","$85M (Micro)"
"SOHO","Sotherly Hotels Inc","Domestic","2.97%","13.80","Real Estate","Equity Real Estate Investment Trusts (REITs)","Hotel & Resort REITs","$36M (Micro)"
"SP","SP Plus Corp","Domestic","6.72%","15.02","Industrials","Commercial Services & Supplies","Environmental & Facilities Services","$703M (Micro)"
"SBSAA","Spanish Broadcasting System Inc","Domestic","0.59%","2.55","Communication Services","Media","Broadcasting","$4M (Micro)"
"SPTN","SpartanNash Co","Domestic","3.53%","21.11","Consumer Staples","Food & Staples Retailing","Food Distributors","$1B (Micro)"
"SPND","Spindletop Oil and Gas Co","Domestic","13.67%","10.38","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","$26M (Micro)"
"SPWH","Sportsmans Warehouse Holdings Inc","Domestic","19.43%","4.50","Consumer Discretionary","Specialty Retail","Specialty Stores","$382M (Micro)"
"JOE","St Joe Co","Domestic","6.12%","28.56","Real Estate","Real Estate Management & Development","Diversified Real Estate Activities","$2B (Micro)"
"SMP","Standard Motor Products Inc","Domestic","10.33%","10.37","Consumer Discretionary","Auto Components","Auto Parts & Equipment","$851M (Micro)"
"SXI","Standex International Corp","Domestic","7.89%","20.01","Industrials","Machinery","Industrial Machinery","$1B (Micro)"
"SRT","Startek Inc","Domestic","3.26%","19.20","Information Technology","IT Services","Data Processing & Outsourced Services","$139M (Micro)"
"SPLP","Steel Partners Holdings LP","Domestic","6.55%","7.77","Industrials","Industrial Conglomerates","Industrial Conglomerates","$948M (Micro)"
"SCS","Steelcase Inc","Domestic","0.93%","63.61","Industrials","Commercial Services & Supplies","Office Services & Supplies","$952M (Micro)"
"STER","Sterling Check Corp","Domestic","2.27%","43.42","Industrials","Professional Services","Human Resource & Employment Services","$1B (Micro)"
"STRA","Strategic Education Inc","Domestic","2.49%","39.28","Consumer Discretionary","Diversified Consumer Services","Education Services","$2B (Micro)"
"STRT","Strattec Security Corp","Domestic","4.14%","14.44","Consumer Discretionary","Auto Components","Auto Parts & Equipment","$105M (Micro)"
"STRS","Stratus Properties Inc","Domestic","13.71%","3.63","Real Estate","Real Estate Management & Development","Real Estate Development","$210M (Micro)"
"LRN","Stride Inc","Domestic","6.95%","16.68","Consumer Discretionary","Diversified Consumer Services","Education Services","$2B (Micro)"
"RGR","Sturm Ruger & Company Inc","Domestic","29.04%","9.05","Consumer Discretionary","Leisure Products","Leisure Products","$966M (Micro)"
"SNCY","Sun Country Airlines Holdings Inc","Domestic","0.85%","132.99","Industrials","Airlines","Airlines","$1B (Micro)"
"SXC","SunCoke Energy Inc","Domestic","7.58%","6.86","Materials","Metals & Mining","Steel","$688M (Micro)"
"SDPI","Superior Drilling Products Inc","Domestic","12.38%","16.70","Energy","Energy Equipment & Services","Oil & Gas Equipment & Services","$24M (Micro)"
"SUPN","Supernus Pharmaceuticals Inc","Domestic","3.29%","56.17","Health Care","Pharmaceuticals","Pharmaceuticals","$2B (Micro)"
"SPRS","Surge Components Inc","Domestic","20.62%","5.89","Information Technology","Electronic Equipment, Instruments & Components","Technology Distributors","$17M (Micro)"
"SYPR","Sypris Solutions Inc","Domestic","0.83%","161.51","Consumer Discretionary","Auto Components","Auto Parts & Equipment","$47M (Micro)"
"TBTC","Table Trac Inc","Domestic","28.30%","9.88","Consumer Discretionary","Hotels, Restaurants & Leisure","Casinos & Gaming","$20M (Micro)"
"TBLA","Taboola.com Ltd","Domestic","1.82%","24.71","Communication Services","Interactive Media & Services","Interactive Media & Services","$440M (Micro)"
"TAIT","Taitron Components Inc","Domestic","25.03%","6.04","Information Technology","Electronic Equipment, Instruments & Components","Technology Distributors","$23M (Micro)"
"TALN","Talon International Inc","Domestic","4.14%","24.16","Consumer Discretionary","Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods","$12M (Micro)"
"TALO","Talos Energy Inc","Domestic","20.88%","3.76","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","$2B (Micro)"
"TLF","Tandy Leather Factory Inc","Domestic","1.43%","45.96","Consumer Discretionary","Specialty Retail","Apparel Retail","$39M (Micro)"
"SKT","Tanger Factory Outlet Centers Inc","Domestic","3.64%","26.99","Real Estate","Equity Real Estate Investment Trusts (REITs)","Retail REITs","$2B (Micro)"
"TAPM","Tapinator Inc","Domestic","30.59%","5.64","Communication Services","Entertainment","Interactive Home Entertainment","$3M (Micro)"
"TH","Target Hospitality Corp","Domestic","9.38%","30.17","Consumer Discretionary","Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines","$1B (Micro)"
"TASK","Taskus Inc","Domestic","8.01%","39.66","Information Technology","IT Services","Data Processing & Outsourced Services","$2B (Micro)"
"TAYD","Taylor Devices Inc","Domestic","7.18%","15.17","Industrials","Machinery","Industrial Machinery","$46M (Micro)"
