"Symbol","Description","Universe","Return on Invested Capital (TTM)","Price/Earnings (TTM)","Sector","Industry","Same Sub-Industry As","Market Capitalization"
"ISDR","Issuer Direct Corp","Domestic","8.36%","36.07","Information Technology","Software","Application Software","$97M (Micro)"
"ITOS","Iteos Therapeutics Inc","Domestic","49.06%","2.93","Health Care","Biotechnology","Biotechnology","$710M (Micro)"
"JACK","Jack in the Box Inc","Domestic","5.64%","14.00","Consumer Discretionary","Hotels, Restaurants & Leisure","Restaurants","$2B (Micro)"
"JAKK","JAKKS Pacific Inc","Domestic","25.26%","3.72","Consumer Discretionary","Leisure Products","Leisure Products","$173M (Micro)"
"JANL","Janel Corp","Domestic","26.07%","5.33","Industrials","Air Freight & Logistics","Air Freight & Logistics","$43M (Micro)"
"JBI","Janus International Group Inc","Domestic","8.28%","17.42","Industrials","Building Products","Building Products","$2B (Micro)"
"JELD","JELD-WEN Holding Inc","Domestic","1.94%","16.83","Industrials","Building Products","Building Products","$826M (Micro)"
"JRSH","Jerash Holdings (US) Inc","Domestic","7.43%","10.39","Consumer Discretionary","Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods","$52M (Micro)"
"JCTCF","Jewett-Cameron Trading Company Ltd","Domestic","8.47%","9.73","Industrials","Building Products","Building Products","$19M (Micro)"
"JILL","JJill Inc","Domestic","13.89%","5.21","Consumer Discretionary","Specialty Retail","Apparel Retail","$246M (Micro)"
"JBSS","John B Sanfilippo & Son Inc","Domestic","19.43%","17.37","Consumer Staples","Food Products","Packaged Foods & Meats","$1B (Micro)"
"JOUT","Johnson Outdoors Inc","Domestic","7.69%","13.58","Consumer Discretionary","Leisure Products","Leisure Products","$568M (Micro)"
"JYNT","Joint Corp","Domestic","0.43%","880.26","Health Care","Health Care Providers & Services","Health Care Facilities","$219M (Micro)"
"KANP","Kaanapali Land LLC","Domestic","5.38%","7.09","Real Estate","Real Estate Management & Development","Real Estate Development","$39M (Micro)"
"KAMN","Kaman Corp","Domestic","1.41%","31.59","Industrials","Aerospace & Defense","Aerospace & Defense","$566M (Micro)"
"KRT","Karat Packaging Inc","Domestic","15.30%","11.04","Industrials","Trading Companies & Distributors","Trading Companies & Distributors","$273M (Micro)"
"KYN","Kayne Anderson Energy Infrastructure Fund","Domestic","17.93%","3.64","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Storage & Transportation","$1B (Micro)"
"KBSR","KBS Real Estate Investment Trust III Inc","Domestic","4.35%","10.98","Real Estate","Equity Real Estate Investment Trusts (REITs)","Office REITs","$997M (Micro)"
"KBRS","KBS Real Estate Investment Trust Inc","Domestic","12.87%","2.45","Real Estate","Equity Real Estate Investment Trusts (REITs)","Diversified REITs","$213M (Micro)"
"KELYA","Kelly Services Inc","Domestic","0.38%","87.21","Industrials","Professional Services","Human Resource & Employment Services","$594M (Micro)"
"KTCC","Key Tronic Corp","Domestic","1.41%","15.66","Information Technology","Electronic Equipment, Instruments & Components","Electronic Manufacturing Services","$51M (Micro)"
"KFRC","Kforce Inc","Domestic","29.11%","13.99","Industrials","Professional Services","Human Resource & Employment Services","$1B (Micro)"
"KE","Kimball Electronics Inc","Domestic","9.36%","10.55","Information Technology","Electronic Equipment, Instruments & Components","Electronic Manufacturing Services","$570M (Micro)"
